Player,height,weight,college,Year,Pos,Age,G,MP,PER,TS%,USG%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Jimmy Darden,185.0,77.0,University of Denver,1950.0,G,27.0,26.0,,,0.379,,-0.2,,,0.321,,0.321,0.321,0.688,,67.0,,,,211.0
Bob Davies*,185.0,79.0,Seton Hall University,1952.5,PG,32.5,67.0,2154.25,,0.45893034825870643,,6.851243781094528,,,0.3810472636815921,,0.3810472636815921,0.3810472636815921,0.7565149253731344,,322.24626865671644,,,,946.2363184079602
Hook Dillon,190.0,81.0,University of North Carolina,1950.0,F,26.0,22.0,,,0.278,,-0.4,,,0.182,,0.182,0.182,0.727,,5.0,,,,36.0
Earl Dodd,196.0,79.0,Truman State University,1950.0,F,25.0,9.0,,,0.257,,-0.3,,,0.222,,0.222,0.222,0.6,,6.0,,,,15.0
Joe Dolhon,183.0,79.0,New York University,1950.5,G,22.5,38.5,,,0.39846753246753247,,2.5103896103896104,,,0.3106493506493507,,0.3106493506493507,0.3106493506493507,0.7348441558441559,,132.03896103896105,,,,376.8181818181818
Bob Doll,196.0,88.0,University of Colorado,1950.0,F-C,30.0,47.0,,,0.397,,1.6,,,0.346,,0.346,0.346,0.658,,108.0,,,,315.0
Harry Donovan,188.0,81.0,Muhlenberg College,1950.0,G,23.0,45.0,,,0.393,,1.0,,,0.327,,0.327,0.327,0.689,,38.0,,,,253.0
Andy Duncan,198.0,88.0,College of William & Mary,1950.5,F-C,27.5,40.5,,,0.43179012345679013,,2.7604938271604937,,,0.38840740740740737,,0.38840740740740737,0.38840740740740737,0.5777777777777778,,36.123456790123456,,,,261.4320987654321
Dike Eddleman,190.0,85.0,University of Illinois at Urbana-Champaign,1951.6666666666667,SF,28.666666666666668,55.5,1344.75,,0.3954864864864865,,1.4213213213213214,,,0.3483213213213213,,0.3483213213213213,0.3483213213213213,0.6167597597597597,,128.23423423423424,,,,746.7597597597597
Gene Englund,196.0,92.0,University of Wisconsin,1950.0,F-C,32.0,30.666666666666668,,,0.5017826086956522,,3.154347826086956,,,0.38006521739130433,,0.38006521739130433,0.38006521739130433,0.7909782608695651,,30.67391304347826,,,,270.3478260869565
Bob Evans,188.0,79.0,Butler University,1950.0,G,24.0,47.0,,,0.324,,-0.3,,,0.28,,0.28,0.28,0.682,,55.0,,,,142.0
Johnny Ezersky,190.0,79.0,University of Rhode Island,1950.0,F-G,27.0,36.0,,,0.36366666666666664,,0.46666666666666656,,,0.2935740740740741,,0.2935740740740741,0.2935740740740741,0.6938703703703704,,68.77777777777777,,,,330.01851851851853
Bob Feerick,190.0,86.0,Santa Clara University,1950.0,F-G,30.0,60.0,,,0.419,,3.6,,,0.344,,0.344,0.344,0.799,,127.0,,,,483.0
George Feigenbaum,185.0,83.0,University of Kentucky,1951.5,G,21.5,8.5,79.0,,0.27788235294117647,,-0.34117647058823536,,,0.2271764705882353,,0.2271764705882353,0.2271764705882353,0.4701764705882353,,9.705882352941176,,,,30.11764705882353
Arnie Ferrin,188.0,81.0,University of Utah,1950.5,F-G,24.5,65.5,,,0.3892290076335878,,2.49618320610687,,,0.32573282442748097,,0.32573282442748097,0.32573282442748097,0.6959618320610687,,101.22900763358778,,,,346.2290076335878
Jerry Fleishman,188.0,86.0,New York University,1951.5,SG,28.5,49.0,882.0,,0.37151020408163266,,1.263265306122449,,,0.3028061224489796,,0.3028061224489796,0.3028061224489796,0.6395714285714286,,114.63265306122449,,,,296.66326530612247
Joe Fulks*,196.0,86.0,Murray State University,1952.0,PF,30.0,65.2,1496.6666666666667,,0.364159509202454,,-0.0987730061349693,,,0.30441104294478527,,0.30441104294478527,0.30441104294478527,0.7355950920245399,,93.25460122699387,,,,830.760736196319
Bill Gabor,180.0,77.0,Syracuse University,1952.5,SG,29.5,51.166666666666664,920.0,,0.4129902280130293,,2.23485342019544,,,0.3445016286644951,,0.3445016286644951,0.3445016286644951,0.7366384364820847,,122.9185667752443,,,,592.8664495114007
Elmer Gainer,198.0,88.0,DePaul University,1950.0,F-C,31.0,15.0,,,0.312,,-0.3,,,0.257,,0.257,0.257,0.75,,7.0,,,,24.0
Harry Gallatin*,198.0,95.0,Truman State University,1954.0,PF,26.0,70.0,2259.0,,0.5063841269841269,,8.386031746031746,,,0.40584761904761907,,0.40584761904761907,0.40584761904761907,0.774552380952381,,127.29206349206349,,,,938.0793650793651
Vern Gardner,196.0,90.0,University of Utah,1951.0,SG,25.0,50.333333333333336,507.0,,0.3949072847682119,,3.0900662251655633,,,0.3451655629139073,,0.3451655629139073,0.3451655629139073,0.7238145695364238,,92.21854304635761,,,,516.4172185430464
Frank Gates,183.0,72.0,Sam Houston State University,1950.0,G,29.0,64.0,,,0.322,,1.3,,,0.281,,0.281,0.281,0.622,,91.0,,,,287.0
Dee Gibson,180.0,79.0,Western Kentucky University,1950.0,F-G,26.0,44.0,,,0.435,,2.7,,,0.314,,0.314,0.314,0.718,,126.0,,,,281.0
Hoot Gibson,196.0,89.0,Creighton University,1950.0,F-C,28.0,21.333333333333332,,,0.39834375,,-0.04375,,,0.35246875,,0.35246875,0.35246875,0.65596875,,35.40625,,,,167.4375
Chuck Gilmur,193.0,102.0,University of Washington,1950.5,F-C,27.5,42.0,,,0.4136666666666666,,3.461904761904761,,,0.3243333333333333,,0.3243333333333333,0.3243333333333333,0.6516190476190477,,90.66666666666667,,,,348.0952380952381
Normie Glick,201.0,86.0,Loyola Marymount University,1950.0,F,22.0,1.0,,,1.0,,0.1,,,1.0,,1.0,1.0,,,0.0,,,,2.0
Paul Gordon,190.0,83.0,University of Notre Dame,1950.0,F,22.0,4.0,,,0.183,,-0.1,,,0.0,,0.0,0.0,0.6,,3.0,,,,3.0
Joe Graboski,201.0,88.0,,1956.4166666666667,PF,26.416666666666668,66.66666666666667,2060.4545454545455,,0.40923250000000005,,,,,0.3494,,0.3494,0.3494,0.7012787499999998,,129.22625,,,,796.625
Bud Grant,190.0,88.0,University of Minnesota,1950.5,F,22.5,48.0,,,0.3627395833333333,,0.5635416666666667,,,0.31607291666666665,,0.31607291666666665,0.31607291666666665,0.5486145833333333,,52.041666666666664,,,,133.57291666666666
Don Grate,188.0,83.0,Ohio State University,1950.0,F-G,26.0,2.0,,,0.291,,0.0,,,0.167,,0.167,0.167,1.0,,3.0,,,,4.0
Alex Groza,201.0,98.0,University of Kentucky,1950.5,C,23.5,65.0,,,0.5500307692307693,,17.95076923076923,,,0.4739384615384615,,0.4739384615384615,0.4739384615384615,0.7579384615384617,,158.95384615384614,,,,1461.9846153846154
Al Guokas,196.0,90.0,Saint Joseph's University,1950.0,F-G,24.0,38.0,,,0.3287631578947368,,-0.881578947368421,,,0.3045964912280702,,0.3045964912280702,0.3045964912280702,0.6116842105263158,,79.47368421052632,,,,180.23684210526315
Robert Hahn,208.0,108.0,North Carolina State University,1950.0,C,24.0,10.0,,,0.311,,0.1,,,0.308,,0.308,0.308,0.286,,1.0,,,,10.0
Chick Halbert,206.0,102.0,West Texas A&M University,1950.5,C,30.5,68.0,,,0.451,,,,,0.3725,,0.3725,0.3725,0.6669999999999999,,123.5,,,,414.0
Bruce Hale,185.0,77.0,Santa Clara University,1950.5,G-F,31.5,45.0,,,0.4093333333333334,,3.511111111111111,,,0.3365333333333333,,0.3365333333333333,0.3365333333333333,0.7320222222222222,,172.84444444444443,,,,494.35555555555555
Dale Hamilton,183.0,81.0,Franklin College,1950.0,G-F,30.0,14.0,,,0.302,,-0.3,,,0.242,,0.242,0.242,0.474,,17.0,,,,25.0
Alex Hannum*,201.0,95.0,University of Southern California,1953.5,PF,29.5,64.5,1285.5,,0.39958527131782945,,,,,0.35266860465116273,,0.35266860465116273,0.35266860465116273,0.6337093023255814,,108.45542635658914,,,,388.9418604651163
John Hargis,188.0,81.0,University of Texas at Austin,1950.75,G-F,29.75,29.5,,,0.451093220338983,,4.5288135593220336,,,0.39172033898305086,,0.39172033898305086,0.39172033898305086,0.674228813559322,,61.110169491525426,,,,372.2457627118644
Bob Harris,201.0,88.0,Oklahoma State University,1951.7142857142858,F-C,23.714285714285715,54.42857142857143,1922.6666666666667,,0.43255905511811016,,2.8165354330708663,,,0.3747742782152231,,0.3747742782152231,0.3747742782152231,0.6381049868766404,,92.8766404199475,,,,410.3254593175853
Bob Harrison,201.0,88.0,Oklahoma State University,1954.0,SG,26.0,61.72727272727273,1596.5555555555557,,0.39192341678939624,,,,,0.34748453608247415,,0.34748453608247415,0.34748453608247415,0.6908512518409425,,175.75257731958763,,,,465.40353460972017
Billy Hassett,180.0,81.0,University of Notre Dame,1950.25,G,28.25,37.75,,,0.3545562913907285,,1.0,,,0.2759536423841059,,0.2759536423841059,0.2759536423841059,0.6295960264900662,,91.3841059602649,,,,185.4503311258278
Marshall Hawkins,190.0,92.0,University of Tennessee,1950.0,F,25.0,39.0,,,0.343,,-0.1,,,0.282,,0.282,0.282,0.689,,51.0,,,,152.0
Bill Henry,206.0,97.0,Rice University,1950.0,C,25.0,42.0,,,0.41698412698412696,,2.003968253968254,,,0.32107936507936513,,0.32107936507936513,0.32107936507936513,0.6702460317460318,,38.976190476190474,,,,235.0952380952381
Bill Herman,190.0,77.0,Mount Union College,1950.0,G,25.0,13.0,,,0.401,,0.1,,,0.385,,0.385,0.385,0.545,,15.0,,,,56.0
Kleggie Hermsen,206.0,102.0,University of Minnesota,1952.0,C-F,28.0,31.6,41.333333333333336,,0.3397658227848101,,,,,0.2820126582278481,,0.2820126582278481,0.2820126582278481,0.6323354430379747,,83.30379746835443,,,,471.72151898734177
Sonny Hertzberg,178.0,79.0,City College of New York,1950.5,G,27.5,66.5,,,0.38796992481203,,1.5796992481203007,,,0.31702255639097743,,0.31702255639097743,0.31702255639097743,0.7866315789473685,,221.50375939849624,,,,664.6541353383459
Paul Hoffman,188.0,88.0,Purdue University,1952.6,G-F,26.6,56.0,1710.0,,0.40521428571428575,,,,,0.33605,,0.33605,0.33605,0.6799428571428572,,195.2,,,,623.8678571428571
Joe Holland,193.0,83.0,University of Kentucky,1951.0,SF,25.0,62.0,737.0,,0.3719462365591398,,0.6623655913978495,,,0.33276881720430107,,0.33276881720430107,0.33276881720430107,0.6138870967741935,,112.66129032258064,,,,369.63440860215053
Red Holzman*,178.0,79.0,City College of New York,1952.0,PG,31.0,59.6,702.0,,0.36238926174496644,,0.3194630872483221,,,0.3066040268456376,,0.3066040268456376,0.3066040268456376,0.7011744966442952,,122.50335570469798,,,,348.1711409395973
Gene James,193.0,81.0,Marshall University,1950.75,F,24.75,31.25,,,0.369176,,0.3832,,,0.326808,,0.326808,0.326808,0.5762719999999999,,53.888,,,,156.64
Howie Janotta,190.0,83.0,Seton Hall University,1950.0,F,25.0,9.0,,,0.418,,0.2,,,0.3,,0.3,0.3,0.813,,4.0,,,,31.0
Tony Jaros,190.0,83.0,University of Minnesota,1950.5,F-G,29.5,62.0,,,0.36250806451612905,,0.9443548387096774,,,0.29912903225806453,,0.29912903225806453,0.29912903225806453,0.6895403225806451,,66.09677419354838,,,,240.50806451612902
Buddy Jeannette*,180.0,79.0,Washington & Jefferson College,1950.0,G,32.0,37.0,,,0.467,,2.6,,,0.284,,0.284,0.284,0.82,,93.0,,,,193.0
Arnie Johnson,196.0,107.0,Bemidji State University,1951.5,SF,30.5,68.0,2071.0,,0.538514705882353,,8.116176470588234,,,0.4163529411764706,,0.4163529411764706,0.4163529411764706,0.7325294117647059,,162.53676470588235,,,,593.7058823529412
Ralph Johnson,180.0,77.0,Huntington University,1951.0,PG,29.0,45.166666666666664,1147.5,,0.36660885608856086,,1.6763837638376382,,,0.32470479704797045,,0.32470479704797045,0.32470479704797045,0.7539852398523986,,160.7380073800738,,,,493.2656826568266
Wah Wah,180.0,77.0,,1951.0,PF,24.0,46.666666666666664,1320.0,,0.41654285714285716,,3.19,,,0.3515571428571429,,0.3515571428571429,0.3515571428571429,0.7570285714285715,,158.64285714285714,,,,538.8142857142857
Noble Jorgensen,206.0,103.0,University of Iowa,1951.3333333333333,C,25.333333333333332,52.666666666666664,1336.5,,0.4466962025316456,,3.15126582278481,,,0.3687784810126582,,0.3687784810126582,0.3687784810126582,0.7336518987341772,,73.6993670886076,,,,519.2658227848101
George Kaftan,190.0,86.0,College of the Holy Cross,1951.5,SF,22.5,47.75,667.5,,0.43006806282722504,,1.9408376963350784,,,0.37130366492146594,,0.37130366492146594,0.37130366492146594,0.6537643979057591,,93.07853403141361,,,,353.3821989528796
Leo Katkaveck,183.0,83.0,North Carolina State University,1950.0,G,26.0,54.0,,,0.333,,-0.2,,,0.306,,0.306,0.306,0.607,,68.0,,,,236.0
Jack Kerris,198.0,97.0,Loyola University of Chicago,1951.5,PF,26.5,51.0,1249.0,,0.4290808823529412,,3.7556372549019605,,,0.3549436274509804,,0.3549436274509804,0.3549436274509804,0.6509509803921569,,143.6078431372549,,,,439.33088235294116
Bob Kinney,198.0,97.0,Rice University,1950.0,C-F,29.0,60.0,,,0.438,,4.8,,,0.375,,0.375,0.375,0.628,,100.0,,,,667.0
Walt Kirk,190.0,78.0,University of Illinois at Urbana-Champaign,1950.5,PG,25.5,31.75,396.0,,0.38403149606299214,,1.6283464566929133,,,0.2681653543307087,,0.2681653543307087,0.2681653543307087,0.7153149606299213,,73.38582677165354,,,,251.31496062992127
Leo Klier,188.0,77.0,University of Notre Dame,1950.0,F-G,26.0,66.0,,,0.379,,3.0,,,0.304,,0.304,0.304,0.742,,121.0,,,,455.0
Duane Klueh,190.0,79.0,Indiana State University,1950.25,G,24.25,41.25,,,0.448260606060606,,2.578181818181818,,,0.3710606060606061,,0.3710606060606061,0.3710606060606061,0.7159757575757576,,74.81818181818181,,,,398.4727272727273
Lee Knorek,201.0,97.0,University of Detroit Mercy,1950.0,C,28.0,1.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,0.0
Milo Komenich,201.0,96.0,University of Wyoming,1950.0,F-C,29.0,64.0,,,0.326,,1.4,,,0.283,,0.283,0.283,0.584,,124.0,,,,634.0
Leo Kubiak,180.0,72.0,Bowling Green State University,1950.0,G,22.0,62.0,,,0.395,,0.5,,,0.326,,0.326,0.326,0.814,,201.0,,,,710.0
Frank Kudelka,188.0,87.0,Saint Mary's College of California,1952.0,G-F,26.0,44.0,679.25,,0.38270075757575756,,,,,0.326689393939394,,0.326689393939394,0.326689393939394,0.685776515151515,,116.625,,,,392.54924242424244
Walt Lautenbach,188.0,83.0,University of Wisconsin,1950.0,G-F,27.0,55.0,,,0.334,,-1.3,,,0.301,,0.301,0.301,0.691,,73.0,,,,238.0
Tony Lavelli,190.0,83.0,Yale University,1950.5,F,23.5,43.0,,,0.4622790697674419,,2.944186046511628,,,0.3622325581395349,,0.3622325581395349,0.3622325581395349,0.8533488372093024,,34.06976744186046,,,,354.90697674418607
Ed Leede,190.0,83.0,Dartmouth College,1950.5,F-G,22.5,60.5,,,0.4302231404958678,,2.9925619834710746,,,0.3331074380165289,,0.3331074380165289,0.3331074380165289,0.7224876033057851,,113.51239669421487,,,,480.08264462809916
Andrew Levane,188.0,86.0,St. John's University,1951.5,F-G,30.5,33.5,68.0,,0.3433731343283582,,1.5701492537313433,,,0.3112686567164179,,0.3112686567164179,0.3112686567164179,0.6383432835820896,,140.6417910447761,,,,298.14925373134326
Freddie Lewis,188.0,88.0,Eastern Kentucky University,1958.8,F-G,28.6,26.4,443.0,,0.3756515151515151,,-0.2333333333333333,,,0.32346969696969696,,0.32346969696969696,0.32346969696969696,0.7728636363636364,,33.015151515151516,,,,135.6969696969697
Ron Livingstone,208.0,99.0,University of Wyoming,1950.25,C,24.25,42.75,,,0.34600000000000003,,1.0719298245614035,,,0.28488304093567246,,0.28488304093567246,0.28488304093567246,0.6931286549707603,,100.7719298245614,,,,334.72514619883043
John Logan,188.0,79.0,Indiana University,1950.5,G,29.5,46.0,,,0.4056304347826087,,3.2239130434782606,,,0.32480434782608697,,0.32480434782608697,0.32480434782608697,0.7722391304347825,,200.54347826086956,,,,584.1304347826087
Ray Lumpp,185.0,80.0,New York University,1952.0,G,28.0,49.0,1040.25,,0.4405748299319728,,2.13265306122449,,,0.3711224489795919,,0.3711224489795919,0.3711224489795919,0.7657414965986394,,125.9625850340136,,,,426.0952380952381
Ed Macauley*,203.0,83.0,Saint Louis University,1954.5,C,25.5,64.1,2258.875,,0.5187815912636506,,10.878939157566304,,,0.4332480499219968,,0.4332480499219968,0.4332480499219968,0.756758190327613,,224.55070202808113,,,,1214.531981279251
Johnny Macknowski,183.0,81.0,Seton Hall University,1950.5,G-F,27.5,58.5,,,0.39111965811965815,,1.3623931623931622,,,0.3171367521367522,,0.3171367521367522,0.3171367521367522,0.7270769230769231,,66.98290598290598,,,,411.7350427350427
John Mahnken,203.0,99.0,Georgetown University,1950.888888888889,C,27.88888888888889,41.0,676.0,,0.33861517615176157,,-0.46504065040650405,,,0.30012466124661247,,0.30012466124661247,0.30012466124661247,0.6546341463414634,,72.18157181571816,,,,224.289972899729
John Mandic,193.0,92.0,Oregon State University,1950.0,F-C,30.0,16.666666666666668,,,0.37028,,0.32,,,0.29462,,0.29462,0.29462,0.6974800000000001,,7.14,,,,60.52
Slater Martin*,178.0,77.0,University of Texas at Austin,1955.3076923076924,PG,29.307692307692307,62.38461538461539,2208.181818181818,,0.43238840937114675,,4.151787916152899,,,0.3624882860665844,,0.3624882860665844,0.3624882860665844,0.751023427866831,,281.8471023427867,,,,658.6831072749692
Ariel Maughan,193.0,86.0,Utah State University,1950.5,F,26.5,51.5,,,0.3790485436893204,,0.043689320388349516,,,0.29021359223300974,,0.29021359223300974,0.29021359223300974,0.7765339805825243,,82.99029126213593,,,,401.22330097087377
Matt Mazza,190.0,95.0,Michigan State University,1950.0,F,26.0,26.0,,,0.378,,0.0,,,0.3,,0.3,0.3,0.711,,29.0,,,,98.0
Mike McCarron,180.0,81.0,Seton Hall University,1950.0,G,27.0,5.333333333333333,,,0.262125,,-0.08125,,,0.2,,0.2,0.2,0.5813125,,2.3125,,,,6.8125
Dick McGuire*,183.0,81.0,St. John's University,1955.0,PG,29.0,67.0909090909091,1907.7777777777778,,0.4550420054200542,,4.650271002710027,,,0.39049864498644987,,0.39049864498644987,0.39049864498644987,0.6447615176151762,,383.25338753387535,,,,539.9850948509485
Bones McKinney,198.0,83.0,University of North Carolina,1951.0,SF,32.0,40.8,1083.0,,0.36039215686274517,,-0.005882352941176467,,,0.3110735294117647,,0.3110735294117647,0.3110735294117647,0.7519754901960786,,88.93627450980392,,,,328.8970588235294
Mal McMullen,196.0,95.0,Xavier University,1950.5,F-C,22.5,54.5,,,0.34675229357798165,,-0.1486238532110092,,,0.304348623853211,,0.304348623853211,0.304348623853211,0.5642477064220184,,61.73394495412844,,,,267.3211009174312
